claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-001,Setup,The assigned evidence archive was verified against the dashboard SHA-256 before extraction.,raw-evidence/grc-stage-8-shared-b1.tar.gz,"whole file, 11977 bytes",2026-08-17T08:52:26Z,9be5e36adc4d906f0fdac3b2a893da3bfb4b994e7423c0ee3cc320ca265e283b,The archive analysed is byte-identical to the one issued for set D5.,"Does not prove the contents were interpreted correctly, only that they are unaltered.",high,The archive could have been re-downloaded after modification.,Retained: the hash matches the dashboard value recorded before extraction.
C-002,Baseline,"The OpenSCAP profile was enumerated rather than guessed, and CIS Level 1 Server selected.",before/oscap-info.txt,"Profiles block, id xccdf_org.ssgproject.content_profile_cis_server_l1",2026-08-18T11:52:13Z,cb3548207051693934ea6591d54c1c33bc787c19672a012aa7c943d4a9bb4091,The available profile list was read from the installed data stream before selection.,"Does not prove Level 1 is the correct choice for every environment, only that the selection was informed.",high,"Running --profile cis would have selected Level 2 Server, visible in the same output.",Retained: the enumerated list shows the bare cis identifier maps to Level 2.
C-003,Baseline,The pre-hardening scan recorded 101 failed and 159 passed rules with zero errors.,before/oscap-results.xml,"rule-result elements, result values fail and pass",2026-08-18T11:38:55Z,f72ec730ac6120c3080189d046d17c3f93a7be75730747301cdb920d5a1abc95,The security posture of the host before any remediation was applied.,Does not prove compliance or certification; it is configuration state at one point in time.,high,A different profile would produce different counts.,Retained: the profile and data stream are pinned and identical in the after-scan.
C-004,Baseline,Lynis independently recorded a hardening index of 66 before remediation.,before/lynis-report.dat,hardening_index=66,2026-08-18T11:32:52Z,689017cc889035fc0f5ed3e3d5956de1e1ffc91df70ec72311818e9869d59044,"A second, independent tool corroborates the OpenSCAP baseline.",Does not prove the two tools measure the same controls.,medium,Tool agreement could be coincidental.,Retained as corroboration only; OpenSCAP remains the primary measure.
C-005,Baseline,"The web content carried mode 0666 at baseline, a planted world-writable defect.",before/file-permissions.csv,row for /srv/netforge-service/index.html,2026-08-18T10:56:41Z,da1fcea19a26db370eb9a03ad18c0b83336575bfdf81aa2e0b19ac8f67b4dad4,The defect HR-003 remediates was present before the role ran.,Does not prove the file was exploited or that mode was the only weakness.,high,The mode could have been altered between capture and remediation.,Retained: the capture is timestamped and precedes the first apply.
C-006,Rollback,Rollback restores the effective SSH configuration byte-identically to baseline.,before/sshd-effective.txt,"whole file, compared by diff against live sshd -T after rollback",2026-08-18T10:56:40Z,308e5e8fa47691f82e6679ae13408a36af142485d1614cc735a6dba15f939625,The rollback play returns declared configuration to its recorded baseline state.,"Does not prove every host attribute is restored, only the declared comparison set.",high,A partial restore could coincidentally satisfy a narrow check.,"Retained: the comparison is a full-file diff, not a substring match."
C-007,Baseline integrity,sysctl output cannot be hash-compared because it contains values that change on every read.,before/sysctl-volatility-evidence.txt,two SHA-256 values and the diff of differing keys,2026-08-18T11:00:56Z,485efbf5436567cc95c52ee8f4b9321f678a2a436ff88baf998a4b7d2f1edecc,"Two captures of an unmodified host produce different hashes, naming kernel.random.uuid among the causes.",Does not prove every sysctl key is volatile; six specific keys are named.,high,The host might have changed between captures.,"Retained: the captures were seconds apart with no intervening change, and the diff names only volatile keys."
C-008,Baseline integrity,Listener output cannot be hash-compared because it embeds process identifiers.,before/listeners-volatility-evidence.txt,two SHA-256 values and the stable projection,2026-08-18T11:07:27Z,ab1f17792e53e7d7e680c03b300fda756ab1722f80475afe43fbf7bbb3475097,ss -tulpn embeds PID and fd values that change on process restart and reboot.,Does not prove the listening ports themselves are unstable; the projection shows they are not.,high,A service could have restarted between captures.,Retained: the stable projection is identical across both captures.
C-009,Baseline integrity,"The rollback comparison set is declared, with volatile artefacts excluded and reasons recorded.",before/declared-config.json,hash_stable and excluded_from_hash_comparison arrays,2026-08-18T11:14:43Z,1c59b59bd7cf59e9325d54ee2e953993e694d585483ec9f89db131e68074d10c,"Which baseline facts rollback verifies against, and which are excluded.","Does not prove the excluded artefacts are irrelevant, only that they are not hash-comparable.",high,Excluding artefacts could hide a failed restore.,Retained: each exclusion carries an alternative comparison method.
C-010,Judgment,package_nginx_removed is a false positive on this host and was deliberately not remediated.,before/false-positive-analysis.txt,rule rationale quotation and service-contract.yml extract,2026-08-18T12:29:14Z,f3ebf84d3df4f7ee825735af1582e277d6986269d01b2d99a067c7ba18d70381,The rule is conditional on the web server not being needed; the service contract requires it.,"Does not prove the rule is wrong in general, only that its premise fails here.",high,The service contract could be satisfied by another web server.,Retained: the contract names the running nginx service and forbids disabling it.
