risk_id,source_finding_ids,asset,threat,control_weakness,business_consequence,inherent_likelihood_1_5,inherent_impact_1_5,inherent_score,sle_low_usd,sle_high_usd,aro_low,aro_high,ale_low_usd,ale_high_usd,treatment,owner,target_date,cost_usd,residual_likelihood_1_5,residual_impact_1_5,residual_score,acceptance_authority,review_trigger,decision
R-001,VF-001,edge-lab-07,Exploitation of unsupported web component (public exploit listed),An isolated test subnet limits reachability but does not patch an unsupported component for which public exploit code exists.,Loss of a rebuildable test scanner. No customer records and no revenue dependency; consequence is staff rebuild effort.,4,1,4,500.00,15000.00,0.5,4.0,3128.29,5809.68,Retire asset,Infrastructure Lead,2027-02-28,2000.00,4,1,4,Head of IT Operations,"Asset moves out of the isolated test subnet, or acquires records or a revenue dependency.",Defer
R-002,VF-002,payroll-api-01,Exploitation of broken object authorization (validated cross-tenant read),A WAF inspects request shape and authentication proves identity; neither performs the server-side object authorization check that was validated as missing. The attacker is authenticated by premise.,"Unauthorised disclosure of payroll records across tenant boundaries, affecting 18,400 records and USD 4.2m of dependent revenue, with employment and data protection exposure.",3,3,9,54600.00,1092000.00,0.3,3.0,404925.42,752004.35,Enforce server-side object authorization,Application Security Lead,2026-11-30,45000.00,3,1,3,Chief Information Security Officer,"Further cross-tenant access is observed, or the remediation cost estimate is exceeded by more than 25 percent.",Treat
R-003,VF-003,vpn-gw-01,Exploitation of outdated vpn appliance (version match only),MFA and geo alerting raise the cost of credential misuse but do not remediate an appliance firmware flaw.,"Compromise of the remote access path into the internal estate, disrupting USD 3.1m of dependent revenue and providing a foothold beyond the appliance.",2,3,6,31000.00,620000.00,0.05,0.8,42033.10,78061.47,Upgrade firmware,Network Operations Lead,2027-02-28,8000.00,2,3,6,Head of IT Operations,"Exploitation is demonstrated on this appliance rather than inferred from version, which would move the finding out of the inferred frequency tier.",Defer
R-004,VF-004,files-01,Exploitation of smb signing not required (configuration confirmed),A segmented server VLAN limits who can reach the share but does not prevent relay or tampering by hosts already inside the segment.,"Tampering with or interception of customer attachments covering 920,000 records, with integrity and confidentiality exposure across the file estate.",2,3,6,32400.00,648000.00,0.1,1.5,68737.51,127654.09,Require SMB signing and test legacy clients,Infrastructure Lead,2027-02-28,12000.00,2,3,6,Head of IT Operations,"Relay or tampering is observed inside the server VLAN, or the record volume on the asset increases materially.",Defer
R-005,VF-005,helpdesk-02,Exploitation of local administrator password reused (validated on two synthetic accounts),EDR may detect lateral movement following credential reuse but does not prevent the shared local administrator password from being reused.,"Lateral movement across workstations sharing the credential, disrupting support operations dependent on USD 0.6m of revenue.",3,2,6,6000.00,120000.00,0.3,3.0,30735.09,57079.45,Deploy unique managed local passwords,Endpoint Operations Lead,2027-02-28,18000.00,3,2,6,Head of IT Operations,Credential reuse is observed beyond the two accounts already validated.,Defer
R-006,VF-006,backup-01,Exploitation of management interface accessible from user vlan (network path validated),Password authentication alone protects a management interface whose reachability from the user VLAN was validated. The control does not remove the network path.,"Compromise of the backup coordinator, exposing 920,000 records and removing the recovery path for every other asset. Amplifies the consequence of any separate incident.",3,4,12,93600.00,1872000.00,0.3,3.0,902174.94,1675467.60,Restrict management interface to management VLAN and require MFA,Backup and Recovery Lead,2026-11-30,22000.00,3,1,3,Chief Information Security Officer,"Any change to management VLAN segmentation, or a restore failure that demonstrates recovery dependence.",Treat
R-007,VF-007,marketing-old,Exploitation of remote code execution (PoC available),Absent DNS and blocked egress remove callback paths but the vulnerable instance is retained and the flaw is unpatched.,Execution on a quarantined retired instance with no records and no revenue dependency. Consequence is limited to the instance itself.,3,1,3,500.00,15000.00,0.2,1.6,1250.86,2323.16,Destroy retained instance after evidence hold,Infrastructure Lead,2027-02-28,1500.00,3,1,3,Head of IT Operations,"Evidence hold concludes, permitting destruction; or egress or DNS restrictions are lifted.",Defer
R-008,VF-008,idp-01,Exploitation of admin session timeout exceeds policy (configuration confirmed),Phishing-resistant MFA reduces the chance of obtaining an admin session but has no effect on how long an established session survives.,"Extended privileged access to the identity provider, propagating to every federated system and placing USD 8.1m of dependent revenue and 18,400 records at risk.",2,4,8,105300.00,2106000.00,0.1,1.5,335428.86,622938.46,Reduce privileged session lifetime,Identity and Access Lead,2026-11-30,6000.00,2,1,2,Head of IT Operations,"Any privileged session compromise, or a change to the MFA control that reduces its effectiveness.",Treat
R-009,VF-009,dev-git-01,Exploitation of inactive deploy key remains valid (key authentication validated),Branch protection governs what may be merged; it does not revoke an inactive deploy key whose authentication was validated as still working.,"Unauthorised access to source code and, through the deploy key, to the release path into production systems supporting USD 3.6m of revenue.",3,3,9,36000.00,720000.00,0.3,3.0,278290.11,516824.49,Revoke key and establish owner and expiry control,Platform Engineering Lead,2027-02-28,9000.00,3,3,9,Chief Information Security Officer,"Any use of the inactive key is observed, or additional unattributed keys are discovered.",Defer
R-010,VF-010,dns-01,Exploitation of recursion available to guest vlan (network query validated),Rate limiting reduces amplification volume but does not restrict which clients may perform recursive queries.,"Redirection or disruption of internal name resolution, affecting hosts that are not themselves vulnerable and USD 1.4m of dependent revenue.",3,2,6,14000.00,280000.00,0.3,3.0,126195.16,234362.44,Restrict recursion ACL,Network Operations Lead,2027-02-28,4000.00,3,2,6,Head of IT Operations,Recursive queries are observed from outside authorised client ranges.,Defer
R-011,VF-011,db-reporting,Exploitation of tls certificate expires in 12 days (certificate inspected),A private network limits reachability but has no bearing on certificate expiry, which causes availability failure regardless of network position.,"Availability failure of reporting services on certificate expiry, interrupting access to 220,000 records and USD 0.9m of dependent revenue.",2,2,4,11700.00,234000.00,0.1,1.5,37270.99,69217.98,Renew certificate and automate expiry alerting,Database Operations Lead,2027-02-28,3000.00,2,2,4,Head of IT Operations,Certificate reaches 5 days to expiry without renewal.,Defer
R-012,VF-012,print-03,Exploitation of default management community string (validated read-only),VLAN isolation limits reach to the management interface but the default community string remains valid and read access was validated.,Disclosure of device configuration through read-only management access. No records and no revenue dependency.,2,1,2,500.00,15000.00,0.18,1.8,1204.87,2237.76,Rotate community string and restrict management,IT Operations Lead,2027-02-28,2500.00,2,1,2,Head of IT Operations,"Write access via the community string is demonstrated, or the device is moved off the isolated VLAN.",Defer
